source,source_url,external_id,observed_at,title,address,project_slug,project_name,property_type,purpose,price_total_vnd,price_per_m2_vnd,rent_monthly_vnd,area_m2,bedrooms,bathrooms,floor_number,total_floors,subdivision,tower,view,furniture,legal_status,is_verified,quality_flags_json,dedupe_key,basis,source_file,canonical_key,duplicate_count,duplicate_sources,model_training_eligible
vinhomesonline,https://vinhomesonline.vn/tin/tin-a003-3,tin-a003-3,2026-06-14T04:45:56.447705+00:00,Bán căn A003 —,,2pn-gia-lam-ha-noi,"2PN Gia Lâm, Hà Nội",apartment,sale,9400000000.0,101200000.0,,93.0,0.0,1.0,,,,,,,,0.0,"[""candidate_vinhomesonline"", ""card_candidate"", ""unmapped_project""]",property_candidate:vinhomesonline:tin-a003-3,property_candidate,data/processed/property_candidates.csv,2pn-gia-lam-ha-noi|sale|apartment|93|0|9400000000|a003,1,vinhomesonline,False
vinhomesonline,https://vinhomesonline.vn/tin/tin-a005-5,tin-a005-5,2026-06-14T04:45:56.521958+00:00,Bán căn A005 —,,2pn-gia-lam-ha-noi,"2PN Gia Lâm, Hà Nội",townhouse,sale,6700000000.0,54400000.0,,123.0,2.0,2.0,,,,,,,,0.0,"[""candidate_vinhomesonline"", ""card_candidate"", ""unmapped_project""]",property_candidate:vinhomesonline:tin-a005-5,property_candidate,data/processed/property_candidates.csv,2pn-gia-lam-ha-noi|sale|townhouse|123|2|6700000000|a005,1,vinhomesonline,False
vinhomesonline,https://vinhomesonline.vn/tin/tin-a001-1,tin-a001-1,2026-06-14T04:45:56.447705+00:00,"bán Mã: A001 6.1 tỷ 101,3 triệu/m² Bán căn A001 —",,3pn-gia-lam-ha-noi,"3PN Gia Lâm, Hà Nội",villa,sale,6100000000.0,101300000.0,,60.0,3.0,1.0,,,,,,,,0.0,"[""candidate_vinhomesonline"", ""card_candidate"", ""status_sold"", ""unmapped_project""]",property_candidate:vinhomesonline:tin-a001-1,property_candidate,data/processed/property_candidates.csv,3pn-gia-lam-ha-noi|sale|villa|60|3|6100000000|a001 6 1 101,1,vinhomesonline,False
vinhomesonline,https://vinhomesonline.vn/tin/p2-c004-rent-a5,p2-c004-rent-a5,2026-06-14T04:45:56.878702+00:00,"Cho thuê Studio C004 — Đại đô thị An Lạc Garden TP. Thủ Đức, TP. Hồ Chí Minh","P. Thủ Đức, TP. Hồ Chí Minh Studio 2 PN 4 WC 98 m²",dai-do-thi-an-lac-garden-tp-thu-duc-tp-ho-chi-minh,"Đại đô thị An Lạc Garden TP. Thủ Đức, TP. Hồ Chí Minh",apartment,rent,,,39000000.0,98.0,0.0,4.0,,,,P2,,,,0.0,"[""candidate_vinhomesonline"", ""card_candidate"", ""unmapped_project""]",property_candidate:vinhomesonline:p2-c004-rent-a5,property_candidate,data/processed/property_candidates.csv,dai-do-thi-an-lac-garden-tp-thu-duc-tp-ho-chi-minh|rent|apartment|98|0|39000000|p2 p thu duc tp ho chi minh studio 2 pn 4 wc 98 m,1,vinhomesonline,False
vinhomesonline,https://vinhomesonline.vn/tin/p2-d036-rent-a5,p2-d036-rent-a5,2026-06-14T04:45:56.951198+00:00,"bán Mã: D036 47 triệu/tháng Cho thuê Penthouse D036 — Đại đô thị An Lạc Garden TP. Thủ Đức, TP. Hồ Chí Minh Penthouse","P. Thủ Đức, TP. Hồ Chí Minh Penthouse 3 PN 4 WC 289 m²",dai-do-thi-an-lac-garden-tp-thu-duc-tp-ho-chi-minh,"Đại đô thị An Lạc Garden TP. Thủ Đức, TP. Hồ Chí Minh",other,rent,,,47000000.0,289.0,3.0,4.0,,,,P2,,,,0.0,"[""candidate_vinhomesonline"", ""card_candidate"", ""status_sold"", ""unmapped_project""]",property_candidate:vinhomesonline:p2-d036-rent-a5,property_candidate,data/processed/property_candidates.csv,dai-do-thi-an-lac-garden-tp-thu-duc-tp-ho-chi-minh|rent|other|289|3|47000000|p2 p thu duc tp ho chi minh penthouse 3 pn 4 wc 289 m,1,vinhomesonline,False
vinhomesonline,https://vinhomesonline.vn/tin/p2-c012-rent-a5,p2-c012-rent-a5,2026-06-14T04:45:56.951198+00:00,"Cho thuê Shophouse C012 — Đại đô thị An Lạc Garden TP. Thủ Đức, TP. Hồ Chí Minh Shophouse","P. Thủ Đức, TP. Hồ Chí Minh Shophouse 5 PN 1 WC 130 m²",dai-do-thi-an-lac-garden-tp-thu-duc-tp-ho-chi-minh,"Đại đô thị An Lạc Garden TP. Thủ Đức, TP. Hồ Chí Minh",shophouse,rent,,,79000000.0,130.0,5.0,1.0,,,,P2,,,,0.0,"[""candidate_vinhomesonline"", ""card_candidate"", ""unmapped_project""]",property_candidate:vinhomesonline:p2-c012-rent-a5,property_candidate,data/processed/property_candidates.csv,dai-do-thi-an-lac-garden-tp-thu-duc-tp-ho-chi-minh|rent|shophouse|130|5|79000000|p2 p thu duc tp ho chi minh shophouse 5 pn 1 wc 130 m,1,vinhomesonline,False
vinhomesonline,https://vinhomesonline.vn/tin/p2-c008-rent-a5,p2-c008-rent-a5,2026-06-14T04:45:56.951198+00:00,"bán Mã: C008 10 triệu/tháng Cho thuê Shophouse C008 — Đại đô thị An Lạc Garden TP. Thủ Đức, TP. Hồ Chí Minh Shophouse","P. Thủ Đức, TP. Hồ Chí Minh Shophouse 4 PN 3 WC 206 m²",dai-do-thi-an-lac-garden-tp-thu-duc-tp-ho-chi-minh,"Đại đô thị An Lạc Garden TP. Thủ Đức, TP. Hồ Chí Minh",shophouse,rent,,,10000000.0,206.0,4.0,3.0,,,,P2,,,,0.0,"[""candidate_vinhomesonline"", ""card_candidate"", ""status_sold"", ""unmapped_project""]",property_candidate:vinhomesonline:p2-c008-rent-a5,property_candidate,data/processed/property_candidates.csv,dai-do-thi-an-lac-garden-tp-thu-duc-tp-ho-chi-minh|rent|shophouse|206|4|10000000|p2 p thu duc tp ho chi minh shophouse 4 pn 3 wc 206 m,1,vinhomesonline,False
vinhomesonline,https://vinhomesonline.vn/tin/p2-d024-rent-a5,p2-d024-rent-a5,2026-06-14T04:45:56.878702+00:00,"bán Mã: D024 87 triệu/tháng Cho thuê Nhà phố D024 — Đại đô thị An Lạc Garden TP. Thủ Đức, TP. Hồ Chí Minh Nhà phố","P. Thủ Đức, TP. Hồ Chí Minh Nhà phố 4 PN 3 WC 76 m²",dai-do-thi-an-lac-garden-tp-thu-duc-tp-ho-chi-minh,"Đại đô thị An Lạc Garden TP. Thủ Đức, TP. Hồ Chí Minh",townhouse,rent,,,87000000.0,76.0,4.0,3.0,,,,P2,,,,0.0,"[""candidate_vinhomesonline"", ""card_candidate"", ""status_sold"", ""unmapped_project""]",property_candidate:vinhomesonline:p2-d024-rent-a5,property_candidate,data/processed/property_candidates.csv,dai-do-thi-an-lac-garden-tp-thu-duc-tp-ho-chi-minh|rent|townhouse|76|4|87000000|p2 p thu duc tp ho chi minh nha pho 4 pn 3 wc 76 m,1,vinhomesonline,False
vinhomesonline,https://vinhomesonline.vn/tin/p2-b026-rent-a5,p2-b026-rent-a5,2026-06-14T04:45:56.878702+00:00,"Cho thuê Biệt thự đơn lập B026 — Đại đô thị An Lạc Garden TP. Thủ Đức, TP. Hồ Chí Minh Biệt thự đơn lập","P. Thủ Đức, TP. Hồ Chí Minh Biệt thự đơn lập 3 PN 1 WC 136 m²",dai-do-thi-an-lac-garden-tp-thu-duc-tp-ho-chi-minh,"Đại đô thị An Lạc Garden TP. Thủ Đức, TP. Hồ Chí Minh",villa,rent,,,20000000.0,136.0,3.0,1.0,,,,P2,,,,0.0,"[""candidate_vinhomesonline"", ""card_candidate"", ""unmapped_project""]",property_candidate:vinhomesonline:p2-b026-rent-a5,property_candidate,data/processed/property_candidates.csv,dai-do-thi-an-lac-garden-tp-thu-duc-tp-ho-chi-minh|rent|villa|136|3|20000000|p2 p thu duc tp ho chi minh biet thu don lap 3 pn 1 wc 136 m,1,vinhomesonline,False
vinhomesonline,https://vinhomesonline.vn/tin/p2-c016-rent-a5,p2-c016-rent-a5,2026-06-14T04:45:56.951198+00:00,"bán Mã: C016 23 triệu/tháng Cho thuê Biệt thự shop C016 — Đại đô thị An Lạc Garden TP. Thủ Đức, TP. Hồ Chí Minh Biệt thự shop","P. Thủ Đức, TP. Hồ Chí Minh Biệt thự shop 5 PN 1 WC 205 m²",dai-do-thi-an-lac-garden-tp-thu-duc-tp-ho-chi-minh,"Đại đô thị An Lạc Garden TP. Thủ Đức, TP. Hồ Chí Minh",villa,rent,,,23000000.0,205.0,5.0,1.0,,,,P2,,,,0.0,"[""candidate_vinhomesonline"", ""card_candidate"", ""status_sold"", ""unmapped_project""]",property_candidate:vinhomesonline:p2-c016-rent-a5,property_candidate,data/processed/property_candidates.csv,dai-do-thi-an-lac-garden-tp-thu-duc-tp-ho-chi-minh|rent|villa|205|5|23000000|p2 p thu duc tp ho chi minh biet thu shop 5 pn 1 wc 205 m,1,vinhomesonline,False
