id,source,source_url,external_id,first_seen_at,last_seen_at,observed_at,title,address,project_slug,project_name,property_type,purpose,price_total_vnd,price_per_m2_vnd,rent_monthly_vnd,area_m2,bedrooms,bathrooms,floor_number,total_floors,subdivision,tower,view,furniture,legal_status,is_verified,quality_flags_json,dedupe_key
6898,onehousing,https://onehousing.vn/bds/shophouse-huong-view-k-town-vinh-thien-duong-vinhomes-ocean-park-3-the-crown.X8AZTB,ee34300b-60f8-456a-aa0a-673db557a472,2026-06-14T04:45:56.192550+00:00,2026-01-06T04:04:21+00:00,2026-06-14T04:45:56.192550+00:00,Shophouse - hướng/view K town - Vịnh Thiên Đường - Vinhomes Ocean Park 3 - The Crown,"X. Nghĩa Trụ, H. Văn Giang, T. Hưng Yên",vinhomes-ocean-park-3,Vinhomes Ocean Park 3,shophouse,sale,16160000000.0,261000000.0,,61.8,5.0,5.0,,,Vịnh Thiên Đường,Vịnh Thiên Đường 8,,basic,available,0,"[""structured_onehousing"", ""classify_secondary""]",onehousing:ee34300b-60f8-456a-aa0a-673db557a472
6899,onehousing,https://onehousing.vn/bds/shophouse-huong-view-thuong-mai-dich-vu-pho-bien-vinhomes-ocean-park-3-the-crown.MKMPWW,3fd99a50-9686-4c3e-8fc7-28dfa7c07536,2026-06-14T04:45:56.192550+00:00,2025-12-01T07:26:39+00:00,2026-06-14T04:45:56.192550+00:00,Shophouse - hướng/view Thương mại dịch vụ - Phố Biển - Vinhomes Ocean Park 3 - The Crown,"X. Nghĩa Trụ, H. Văn Giang, T. Hưng Yên",vinhomes-ocean-park-3,Vinhomes Ocean Park 3,shophouse,sale,14600000000.0,167000000.0,,87.5,4.0,4.0,,,Phố Biển,Phố Biển 19,,basic,available,0,"[""structured_onehousing"", ""classify_secondary""]",onehousing:3fd99a50-9686-4c3e-8fc7-28dfa7c07536
6900,onehousing,https://onehousing.vn/bds/nha-lien-ke-huong-view-noi-khu-pho-bien-vinhomes-ocean-park-3-the-crown.S0GWTX,501c9f4b-3f55-4ad9-84d9-5f455c90b9e0,2026-06-14T04:45:56.192550+00:00,2025-12-11T10:22:35+00:00,2026-06-14T04:45:56.192550+00:00,Nhà liền kề - hướng/view Nội khu - Phố Biển - Vinhomes Ocean Park 3 - The Crown,"X. Nghĩa Trụ, H. Văn Giang, T. Hưng Yên",vinhomes-ocean-park-3,Vinhomes Ocean Park 3,townhouse,sale,12240000000.0,157000000.0,,78.0,0.0,3.0,,,Phố Biển,Phố Biển 13,internal,,available,0,"[""structured_onehousing"", ""classify_secondary""]",onehousing:501c9f4b-3f55-4ad9-84d9-5f455c90b9e0
6901,onehousing,https://onehousing.vn/bds/nha-lien-ke-huong-view-duong-noi-bo-thoi-dai-vinhomes-ocean-park-3-the-crown.1LVCS4,73edefb7-8734-41c4-9afc-bf0745347ab6,2026-06-14T04:45:56.192550+00:00,2025-12-11T10:10:06+00:00,2026-06-14T04:45:56.192550+00:00,Nhà liền kề - hướng/view Đường nội bộ - Thời Đại - Vinhomes Ocean Park 3 - The Crown,"X. Nghĩa Trụ, H. Văn Giang, T. Hưng Yên",vinhomes-ocean-park-3,Vinhomes Ocean Park 3,townhouse,sale,13130000000.0,164000000.0,,80.0,3.0,4.0,,,Thời Đại,Thời Đại 6,,,available,0,"[""structured_onehousing"", ""classify_secondary""]",onehousing:73edefb7-8734-41c4-9afc-bf0745347ab6
6902,onehousing,https://onehousing.vn/bds/shophouse-huong-view-thuong-mai-dich-vu-vinh-thien-duong-vinhomes-ocean-park-3-the-crown.49Q1RH,0d8a31e5-eed1-406a-bfcf-e77646e16d7c,2026-06-14T04:45:56.192550+00:00,2025-12-01T03:56:10+00:00,2026-06-14T04:45:56.192550+00:00,Shophouse - hướng/view Thương mại dịch vụ - Vịnh Thiên Đường - Vinhomes Ocean Park 3 - The Crown,"X. Nghĩa Trụ, H. Văn Giang, T. Hưng Yên",vinhomes-ocean-park-3,Vinhomes Ocean Park 3,shophouse,sale,31620000000.0,247000000.0,,128.0,0.0,4.0,,,Vịnh Thiên Đường,Vịnh Thiên Đường 8,,,available,0,"[""structured_onehousing"", ""classify_secondary""]",onehousing:0d8a31e5-eed1-406a-bfcf-e77646e16d7c
6903,onehousing,https://onehousing.vn/bds/nha-lien-ke-huong-view-view-song-venice-the-venice-vinhomes-ocean-park-3-the-crown.QZISLL,09e271f8-27cf-4cbb-810d-de253f80726a,2026-06-14T04:45:56.192550+00:00,2026-01-06T04:00:33+00:00,2026-06-14T04:45:56.192550+00:00,Nhà liền kề - hướng/view view sông Venice - The Venice - Vinhomes Ocean Park 3 - The Crown,"X. Nghĩa Trụ, H. Văn Giang, T. Hưng Yên",vinhomes-ocean-park-3,Vinhomes Ocean Park 3,townhouse,sale,18360000000.0,170000000.0,,108.0,5.0,5.0,,,The Venice,Phố Tây 2,water,basic,available,0,"[""structured_onehousing"", ""classify_secondary""]",onehousing:09e271f8-27cf-4cbb-810d-de253f80726a
6878,onehousing,https://onehousing.vn/bds/shophouse-huong-view-truong-hoc-cha-la-vinhomes-ocean-park-2-the-empire.TTB3MR,44f39373-55c6-4010-861b-23c8b3e4bf2c,2026-06-14T04:45:56.162903+00:00,2026-01-06T04:04:18+00:00,2026-06-14T04:45:56.162903+00:00,Shophouse - hướng/view Trường học - Chà Là - Vinhomes Ocean Park 2 - The Empire,"X. Long Hưng, H. Văn Giang, T. Hưng Yên",vinhomes-ocean-park-2,Vinhomes Ocean Park 2,shophouse,sale,13260000000.0,111000000.0,,120.0,5.0,5.0,,,Chà Là,Chà Là 5,,,available,0,"[""structured_onehousing"", ""classify_secondary""]",onehousing:44f39373-55c6-4010-861b-23c8b3e4bf2c
6879,onehousing,https://onehousing.vn/bds/nha-lien-ke-huong-view-noi-khu-co-xanh-vinhomes-ocean-park-2-the-empire.XPFVXU,2f329e7f-d8b9-44cf-8137-5eba6c2acb56,2026-06-14T04:45:56.162903+00:00,2026-01-06T04:03:07+00:00,2026-06-14T04:45:56.162903+00:00,Nhà liền kề - hướng/view Nội khu - Cọ Xanh - Vinhomes Ocean Park 2 - The Empire,"X. Long Hưng, H. Văn Giang, T. Hưng Yên",vinhomes-ocean-park-2,Vinhomes Ocean Park 2,townhouse,sale,9180000000.0,146000000.0,,63.0,0.0,5.0,,,Cọ Xanh,Cọ xanh 17,internal,,available,0,"[""structured_onehousing"", ""classify_secondary""]",onehousing:2f329e7f-d8b9-44cf-8137-5eba6c2acb56
6880,onehousing,https://onehousing.vn/bds/nha-lien-ke-huong-view-duong-san-ho-21-san-ho-vinhomes-ocean-park-2-the-empire.EDQTI5,456089d0-955d-4c80-9a6d-d52f89274650,2026-06-14T04:45:56.162903+00:00,2025-12-11T10:23:43+00:00,2026-06-14T04:45:56.162903+00:00,Nhà liền kề - hướng/view Đường San Hô 21 - San Hô - Vinhomes Ocean Park 2 - The Empire,"X. Long Hưng, H. Văn Giang, T. Hưng Yên",vinhomes-ocean-park-2,Vinhomes Ocean Park 2,townhouse,sale,8568000000.0,153000000.0,,56.0,4.0,4.0,,,San Hô,San Hô 21,,,available,0,"[""structured_onehousing"", ""classify_secondary""]",onehousing:456089d0-955d-4c80-9a6d-d52f89274650
6881,onehousing,https://onehousing.vn/bds/nha-lien-ke-huong-view-duong-san-ho-12-san-ho-vinhomes-ocean-park-2-the-empire.JSAXXA,bdf1081c-072c-475a-ad69-3868b1271a37,2026-06-14T04:45:56.162903+00:00,2025-12-11T10:29:48+00:00,2026-06-14T04:45:56.162903+00:00,Nhà liền kề - hướng/view Đường San Hô 12 - San Hô - Vinhomes Ocean Park 2 - The Empire,"X. Long Hưng, H. Văn Giang, T. Hưng Yên",vinhomes-ocean-park-2,Vinhomes Ocean Park 2,townhouse,sale,13260000000.0,189000000.0,,70.0,0.0,4.0,,,San Hô,San Hô 12,,,available,0,"[""structured_onehousing"", ""classify_secondary""]",onehousing:bdf1081c-072c-475a-ad69-3868b1271a37
